date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:05	113533/113533	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20May%202025%2001:04:04%20GMT	https://serpexnessie.itch.io/scale-the-depths	C:/My%20Web%20Sites/rip%20games/serpexnessie.itch.io/scale-the-depths.html	(from )
20:04:05	190/190	---M--	200	added ('OK')	text/plain	etag:%225cd233aa-be%22	https://serpexnessie.itch.io/robots.txt		(from )
20:04:05	3232/3232	---M--	200	added ('OK')	image/png	date:Mon,%2005%20May%202025%2012:08:46%20GMT	https://img.itch.zone/aW1nLzE3NDE5MDI1LnBuZw==/32x32%23/iMah4J.png	C:/My%20Web%20Sites/rip%20games/img.itch.zone/aW1nLzE3NDE5MDI1LnBuZw==/32x32#/iMah4J.png	(from https://serpexnessie.itch.io/scale-the-depths)
20:04:05	156581/156581	---MCZ	200	added ('OK')	text/css	etag:W/%2267b44e4d-263a5%22	https://static.itch.io/game.css?1746472769	C:/My%20Web%20Sites/rip%20games/static.itch.io/game0818.css	(from https://serpexnessie.itch.io/scale-the-depths)
20:04:06	127414/127414	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2267b44e4d-1f1b6%22	https://static.itch.io/lib.min.js?1746472769	C:/My%20Web%20Sites/rip%20games/static.itch.io/lib.min0818.js	(from https://serpexnessie.itch.io/scale-the-depths)
20:04:06	118062/118062	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2268190f3e-1cd2e%22	https://static.itch.io/bundle.min.js?1746472769	C:/My%20Web%20Sites/rip%20games/static.itch.io/bundle.min0818.js	(from https://serpexnessie.itch.io/scale-the-depths)
20:04:06	23081/23081	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2260414303-5a29%22	https://static.itch.io/lib/jquery.maskMoney.js	C:/My%20Web%20Sites/rip%20games/static.itch.io/lib/jquery.maskMoney.js	(from https://serpexnessie.itch.io/scale-the-depths)
20:04:06	213992/213992	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2268190f3e-343e8%22	https://static.itch.io/game.min.js?1746472769	C:/My%20Web%20Sites/rip%20games/static.itch.io/game.min0818.js	(from https://serpexnessie.itch.io/scale-the-depths)
20:04:07	7198/7198	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20May%202025%2001:04:06%20GMT	https://serpexnessie.itch.io/%22https://html-classic.itch.zone/html/11252461/index.html?v=1732313552%22	C:/My%20Web%20Sites/rip%20games/serpexnessie.itch.io/_https_/html-classic.itch.zone/html/11252461/index2a72.html	(from https://serpexnessie.itch.io/scale-the-depths)
20:04:07	12727/12727	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20May%202025%2001:04:06%20GMT	https://serpexnessie.itch.io/	C:/My%20Web%20Sites/rip%20games/serpexnessie.itch.io/index.html	(from https://serpexnessie.itch.io/scale-the-depths)
